Date,Open,High,Low,Close,Adj Close,Volume
6/17/1998,8.5,9.375,8.3125,9,9,66800
6/18/1998,9.25,9.25,8.75,8.75,8.75,16200
6/19/1998,8.875,8.9375,8.5,8.9375,8.9375,24000
6/22/1998,8.875,8.875,8.375,8.75,8.75,25700
6/23/1998,8.375,8.75,8.25,8.6875,8.6875,20900
6/24/1998,8.25,8.625,7.75,8,8,275900
6/25/1998,7.8125,9.25,7.8125,9.25,9.25,177300
6/26/1998,9.25,9.75,9.25,9.4375,9.4375,54500
6/29/1998,9.25,9.75,7.75,9,9,53900
6/30/1998,9.25,9.3125,9,9.3125,9.3125,192500
7/1/1998,9.375,9.875,9.125,9.25,9.25,107000
7/2/1998,9.25,9.625,9.25,9.625,9.625,21100
7/6/1998,9.5,9.75,9.4375,9.625,9.625,30000
7/7/1998,9.375,9.625,9.375,9.625,9.625,8000
7/8/1998,9.75,9.75,9.375,9.5,9.5,458400
7/9/1998,9.625,9.75,9.25,9.625,9.625,41100
7/10/1998,9.625,9.75,9.375,9.375,9.375,19800
7/13/1998,9.5937,9.625,9.5,9.5,9.5,28600
7/14/1998,9.625,9.75,9.5,9.75,9.75,16300
7/15/1998,9.5,9.75,9.25,9.625,9.625,39800
7/16/1998,9.75,9.75,9.5,9.5625,9.5625,16200
7/17/1998,9.5625,9.625,9.5,9.5,9.5,30300
7/20/1998,9.625,9.75,9.5,9.625,9.625,16300
7/21/1998,9.625,10,9.5625,9.9375,9.9375,45500
7/22/1998,9.75,9.9375,9.6875,9.9375,9.9375,54200
7/23/1998,10,10.5,10,10,10,309200
7/24/1998,10.25,10.25,9.5,9.5625,9.5625,20500
7/27/1998,9.5,10,9.25,9.375,9.375,26300
7/28/1998,9.5625,9.5625,8.875,8.9375,8.9375,17200
7/29/1998,9,9.25,9,9,9,12700
7/30/1998,9.25,9.25,8.5,8.75,8.75,18600
7/31/1998,8.75,9,7.75,8.5,8.5,33500
8/3/1998,8.75,8.75,8.5,8.5,8.5,2000
8/4/1998,8.5,8.5,7.125,7.125,7.125,41900
8/5/1998,7.4375,7.4375,5.125,7,7,110100
8/6/1998,7,7.125,6.5,7,7,49300
8/7/1998,6.875,7.5,6.625,7,7,39500
8/10/1998,6.9375,7.1875,6.875,7.1875,7.1875,12300
8/11/1998,7,7.1875,6.75,6.875,6.875,27000
8/12/1998,7.125,7.125,6.875,7.125,7.125,7200
8/13/1998,7,7.125,6.875,6.875,6.875,11700
8/14/1998,7,7,6.75,6.75,6.75,800
8/17/1998,7,7.25,6.75,7.25,7.25,13500
8/18/1998,7.25,7.25,6.75,6.75,6.75,17300
8/19/1998,7,7,7,7,7,1600
8/20/1998,7,7.25,6.625,7,7,18500
8/21/1998,6.625,7,6.625,6.75,6.75,3500
8/24/1998,6.5,6.75,6.5,6.5,6.5,5700
8/25/1998,6.625,6.875,6.625,6.875,6.875,9300
8/26/1998,6.5,6.875,6.5,6.875,6.875,5100
8/27/1998,6.25,6.875,6,6.0625,6.0625,55200
8/28/1998,6.3125,6.3125,6.0625,6.25,6.25,5900
8/31/1998,6.25,6.3125,6,6,6,11900
9/1/1998,6.1875,6.3125,5.625,6,6,20000
9/2/1998,6,6,4.75,5.625,5.625,24100
9/3/1998,5.625,5.625,5.5,5.625,5.625,6100
9/4/1998,5.625,6,5.625,5.6875,5.6875,19800
9/8/1998,5.6875,6,5.6875,5.875,5.875,13800
9/9/1998,5.75,6,5.75,5.875,5.875,16000
9/10/1998,5.75,5.75,5.75,5.75,5.75,200
9/11/1998,6.125,6.125,6,6,6,7300
9/14/1998,6.0625,6.0625,5.9375,6,6,44200
9/15/1998,6.375,7.25,6.125,7.25,7.25,20000
9/16/1998,7.3125,7.3125,6.875,7,7,9200
9/17/1998,6.75,7,6.625,7,7,32100
9/18/1998,6.75,6.875,6.75,6.875,6.875,2100
